#https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=15605
#note that this does not include reflectance of surface
#Wavelength (nm)	emittance
2508	0.0174334
2510	0.0173693
2512	0.0175863
2514	0.0174788
2516	0.0175941
2518	0.0176453
2520	0.0174194
2522	0.0175552
2524	0.0175255
2526	0.0176907
2528	0.0178395
2530	0.0181265
2532	0.0180415
2534	0.0181761
2536	0.0182055
2538	0.0183892
2540	0.0182678
2542	0.0182559
2544	0.0181469
2546	0.0183434
2548	0.0186447
2550	0.0188897
2552	0.0188289
2554	0.018727
2556	0.0185458
2558	0.0186722
2560	0.018508
2562	0.0191063
2564	0.0189017
2566	0.0189183
2568	0.0189383
2570	0.0189321
2572	0.0189629
2574	0.0191124
2576	0.0190307
2578	0.0192725
2580	0.0194177
2582	0.0198241
2584	0.0196906
2586	0.0197168
2588	0.0197496
2590	0.0197681
2592	0.0198658
2594	0.0200579
2596	0.0203905
2598	0.0199634
2600	0.0201558
